AWH	-0.73	-1.93%	135468200
AWI	-5.39	-10.54%	161919600
AWK	6.45	12.10%	221916300
AWP	-1.44	-19.97%	74859500
AWR	4.29	11.39%	44816400
AXE	-28.07	-31.73%	52533200
AXL	-3.65	-16.16%	311036400
AXON	-2.9	-13.86%	93960900
AXP	-23.49	-25.25%	1605285400
AXR	0.51	13.28%	2220900
AXS	5.13	10.04%	168115200
AXS-C	0.1	0.37%	4018000
AXS-D	2	8.59%	5896300
AXTA	0.63	2.42%	424415100
AYI	93.73	66.92%	104331600
AYR	-0.48	-2.25%	98748500
AZN	-36.43	-51.76%	516000400
AZO	122.8	19.83%	67157400
AZZ	8.65	18.44%	35357700
B	-1.62	-4.38%	62444600
BA	14.61	11.24%	986530700
BABA	-22.67	-21.81%	4325788500
BAC	-1.06	-5.93%	21277761900
BAC-D	0.71	2.83%	7462700
BAC-E	1.93	9.43%	3631800
BAC-I	0.52	1.98%	5324200
BAC-L	-70.98	-6.10%	1085200
BAC-W	1.17	4.58%	38324600
BAC-Y	1.68	6.71%	59797600
BAC.A	-1.22	-17.33%	104491700
BAC.B	-0.44	-61.97%	32073800
BAF	0.44	3.07%	4341400
BAH	4.32	16.28%	235689300
BAK	0.63	4.88%	162146900
BAM	-1.89	-5.66%	271202400
BAN-C	0.18	0.68%	599100
BAN-D	0.66	2.61%	5675200
BANC	3.15	27.46%	50007700
BAP	-62.86	-39.24%	88569800
BAS	-4.33	-61.77%	786287900
BAX	-35.14	-47.95%	1469570300
BBD	-6.33	-56.83%	3150874500
BBDO	-5.56	-51.55%	866700
BBF	0.63	4.51%	3495700
BBG	-7.46	-65.50%	615710200
BBK	0.24	1.51%	4983200
BBL	-20.35	-47.33%	356850100
BBN	-1.18	-5.32%	43749000
BBT	-1.08	-2.78%	1053595400
BBT-D	1.37	5.47%	8767400
BBT-E	1.92	7.94%	22721700
BBT-F	2.39	10.52%	10563400
BBT-G	2.29	9.97%	9538500
BBVA	-2.06	-21.94%	588106900
BBW	-7.86	-39.10%	63587800
BBX	-0.8	-4.86%	7446000
BBY	-8.53	-21.88%	1251625700
BC	-0.75	-1.46%	241234800
BCC	-11.62	-31.28%	104803200
BCE	-7.24	-15.79%	252839800
BCEI	-18.73	-78.04%	568601500
BCH	-9.53	-13.82%	12680000
BCO	4.45	18.23%	91058300
BCR	22.82	13.70%	138885500
BCRH	-0.6	-3.38%	3499200
BCS	-2.05	-13.66%	668531800
BCS-A	0.16	0.62%	18191100
BCS-D	0.45	1.73%	30480900
BCX	-2.6	-26.78%	111649000
BDC	-31.13	-39.50%	82828900
BDJ	-0.51	-6.28%	109141700
BDN	-2.32	-14.52%	455976600
BDN-E	0.41	1.56%	3191300
BDX	14.93	10.73%	279723000
BEL	-2.87	-23.20%	130485200
BEN	-18.55	-33.50%	702738800
BEP	-4.75	-15.36%	12540700
BERY	4.63	14.68%	379189900
BETR	-5.48	-32.24%	58958700
BF.A	11.18	25.47%	5121800
BF.B	5.72	13.02%	153220200
BFAM	19.79	42.10%	45057100
BFK	0.57	4.02%	20758600
BFO	-0.08	-0.53%	2234700
BFR	5.29	38.36%	55604900
BFS	-5.92	-10.35%	8687400
BFS-C	-0.54	-2.02%	3136500
BFZ	0.97	6.48%	13151300
BG	-22.63	-24.89%	260171600
BGB	-3.11	-18.87%	39753200
BGC	-1.47	-9.87%	151811700
BGCA	-0.44	-1.61%	2607500
BGE-B	0.7	2.77%	2247100
BGG	-3.12	-15.28%	109364400
BGH	-3.7	-18.33%	22151800
BGR	-7.42	-37.19%	35940000
BGS	5.12	17.12%	100485500
BGT	-0.35	-2.72%	16956800
BGX	-2.05	-13.20%	12042600
BGY	-0.5	-7.42%	95196600
BH	-73.69	-18.45%	2174000
BHE	-4.77	-18.75%	80416200
BHI	-9.92	-17.69%	963967600
BHK	-0.56	-4.24%	27495100
BHL	0.24	1.88%	7348800
BHLB	2.45	9.19%	28178500
BHP	-21.56	-45.56%	769367400
BID	-17.42	-40.34%	208885400
BIF	-1.31	-14.48%	25465400
BIG	-1.48	-3.70%	251070400
BIO	18.1	15.01%	34602900
BIO.B	17.17	14.25%	35800
BIO.W	-0.22	-13.50%	614500
BIOA	-2.21	-26.34%	16252400
BIP	-2.64	-9.46%	67013400
BIT	-0.96	-5.72%	29148000
BITA	-42.13	-59.84%	246526800
BJZ	-0.2	-1.31%	3030300
BK	0.65	1.60%	1497076000
BK-C	2.79	12.11%	12704800
BKD	-18.21	-49.66%	740829400
BKE	-21.74	-41.39%	86383500
BKFS	6.81	25.94%	61497800
BKH	-6.61	-12.46%	84215700
BKHU	2.68	5.08%	1708000
BKK	-0.52	-3.17%	7263400
BKN	-1.04	-6.33%	8883900
BKS	-14.51	-62.49%	269050300
BKT	-0.02	-0.31%	26516900
BKU	7.09	24.47%	195277300
BLD	2.82	10.09%	82506500
BLH	-0.04	-0.27%	1604700
BLK	-17.04	-4.77%	164875200
BLL	4.56	6.69%	280229700
BLOX	-1.82	-9.01%	189592600
BLW	-1.14	-7.25%	30378400
BLX	-4.17	-13.85%	42975000
BMA	14.39	32.91%	38572100
BME	-3.35	-7.85%	5629000
BMI	-0.76	-1.28%	18380500
BML-G	-0.04	-0.22%	2040300
BML-H	0.04	0.22%	3514500
BML-I	0.38	1.50%	6525600
BML-J	1.34	6.60%	3552000
BML-L	1.32	6.55%	5609000
BMO	-14.31	-20.23%	195944800
BMS	-0.52	-1.15%	195556900
BMY	9.76	16.53%	1654402300
BNED	-4.3	-30.18%	51573000
BNJ	0	0.00%	3208200
BNS	-16.64	-29.15%	213296100
BNY	1.22	8.50%	5240200
BOE	-0.37	-2.82%	48532200
BOH	3.59	6.05%	61416200
BOI	-1.69	-10.28%	16856500
BOOT	-5.91	-32.47%	90998400
BORN	0.18	14.06%	12383600
BOX	-6.24	-30.89%	299852700
BOXC	-4.09	-17.71%	231800
BP	-6.86	-18.00%	1787636500
BPI	-3.71	-32.77%	26218600
BPK	-0.63	-3.91%	7031200
BPL	-9.7	-12.82%	136637500
BPT	-42.7	-63.13%	57160100
BPY	0.37	1.62%	44261000
BQH	0.57	3.99%	1265700
BR	7.55	16.35%	171866800
BRC	-4.36	-15.95%	59276400
BRFS	-9.53	-40.81%	398436000
BRK.A	-28200	-12.48%	60700
BRK.B	-18.11	-12.06%	907803100
BRO	-0.81	-2.46%	167024300
BRS	-39.89	-60.63%	135175700
BRSS	8.14	61.85%	41653900
BRT	-0.64	-9.17%	1801400
BRX	0.98	3.95%	417192700
BSAC	-2.08	-10.55%	105192900
BSBR	-1.13	-22.51%	345633900
BSD	-0.23	-1.63%	3620100
BSE	0.46	3.47%	2965600
BSL	-1.89	-11.29%	13060000
BSM	-4.72	-24.65%	59948300
BSMX	-1.69	-16.31%	366002100
BST	-0.28	-1.59%	27876000
BSX	5.19	39.17%	2555906400
BT	3.62	11.66%	36265000
BTA	0.2	1.77%	9278200
BTE	-13.37	-80.49%	375647300
BTO	4.47	18.97%	15979700
BTT	1.48	7.37%	40476400
BTZ	-0.58	-4.49%	61500400
BUD	12.68	11.29%	411828900
BUI	-3.96	-19.09%	12663900
BURL	-4.36	-9.23%	350871700
BVN	-5.28	-55.23%	410228700
BW	1.37	7.03%	51640600
BWA	-11.72	-21.33%	509492300
BWG	-5.13	-30.70%	24295500
BWP	-4.79	-26.96%	248237800
BWXT	3.77	13.46%	101172800
BX	-4.59	-13.57%	1166342500
BXC	-6.3	-54.31%	18655900
BXE	-2.43	-66.76%	224825900
BXMT	-2.38	-8.17%	171395300
BXMX	1.32	10.90%	59813900
BXP	-1.15	-0.89%	202445500
BXP-B	2	8.61%	3604500
BXS	1.48	6.57%	155311400
BYD	7.09	55.48%	341291800
BYM	0.5	3.48%	12487500
BZH	-7.87	-40.65%	154205900
C	-2.36	-4.36%	4644838300
C-C	1.55	6.35%	16663500
C-J	0.89	3.28%	17607100
C-K	1.28	4.82%	48987000
C-L	1.24	4.73%	11816700
C-N	-0.59	-2.22%	41348800
C-P	0.28	1.00%	1562500
C.A	-0.69	-79.31%	15132600
CAA	-2.54	-6.28%	84219700
CAB	-5.98	-11.35%	286413700
CABO	-16.82	-3.73%	5511400
CACI	6.6	7.66%	36659000
CAE	-1.92	-14.76%	10004600
CAF	-10.46	-34.44%	75637600
CAG	5.88	16.21%	804675100
CAH	8.54	10.58%	541834500
CAI	-2.85	-22.04%	15562100
CAJ	-1.53	-4.83%	65747200
CAL	-4.96	-15.61%	39659700
CALX	-2.15	-21.46%	75239900
CAPL	-14.37	-35.67%	31058300
CAS	-6.39	-80.08%	65118800
CAT	-23.57	-25.75%	1574293500
CATO	-5.36	-12.71%	38500100
CB	29.17	28.19%	366956800
CBA	-7.77	-48.68%	66173200
CBB	2.05	12.85%	232673400
CBB-B	-1.23	-2.50%	656000
CBD	-26.31	-71.44%	188901400
CBG	0.33	0.96%	479677700
CBI	-2.99	-7.12%	496269600
CBK	-4.06	-71.10%	119774600
CBL	-7.05	-36.30%	388348900
CBL-D	0.09	0.36%	8602100
CBL-E	-0.17	-0.68%	4488100
CBM	25.47	117.81%	108819000
CBO	0	0.00%	83800
CBPX	-0.27	-1.52%	87398500
CBR	-0.04	-1.13%	37935500
CBS	-8.21	-14.84%	1328688100
CBS.A	-4.1	-7.29%	1111600
CBT	-2.98	-6.79%	106487700
CBU	1.81	4.75%	41694500
CBX	24.4	232.16%	6260100
CBZ	1.3	15.19%	76832000
CC	-10.64	-66.50%	390704300
CCC	-3.53	-16.99%	66609600
CCE	5.02	11.35%	636212000
CCI	7.75	9.85%	584778200
CCI-A	4.69	4.57%	9887600
CCJ	-4.08	-24.86%	454010600
CCK	-0.2	-0.39%	208507000
CCL	9.15	20.19%	1016834700
CCM	-1.57	-24.49%	14138300
CCO	-5	-47.21%	44609700
CCP	-3.48	-10.22%	78632200
CCS	0.43	2.49%	28213700
CCU	3.11	16.77%	34653000
CCV	0.32	1.26%	4924100
CCZ	-8.39	-16.45%	993100
CDE	-2.63	-51.47%	747679200
CDI	-10.95	-61.83%	19247600
CDR	-0.26	-3.54%	89112600
CDR-B	-1.58	-6.01%	4669500
CE	7.37	12.29%	263590800
CEA	3.9	16.09%	14239700
CEB	-11.14	-15.36%	47189700
CEE	-3.15	-15.93%	5058900
CEL	-2.45	-28.32%	21459500
CELP	-5.5	-38.46%	9081300
CEM	-12.42	-45.00%	73939300
CEN	-7.63	-42.99%	32220300
CEO	-31.06	-22.93%	54443400
CEQP	-60.22	-74.35%	337250600
CF	-13.7	-25.13%	446729900
CFC-B	-0.12	-0.47%	18955100
CFG	1.33	5.35%	1240834000
CFI	3.79	17.48%	18046100
CFR	-10.64	-15.06%	148928400
CFR-A	1.81	7.68%	2620100
CFX	-28.22	-54.72%	314182900
CGA	0.01	0.66%	24282700
CGG	-99.2	-52.54%	5501500
CGI	-12.8	-56.41%	63171700
CHA	-12.26	-20.88%	13428800
CHCT	-0.57	-3.00%	11926100
CHD	3.04	7.70%	190105800
CHE	44.13	41.76%	37761600
CHGG	-0.18	-2.60%	156044900
CHH	-5.61	-10.01%	40719700
CHK	-15.07	-77.01%	5359638700
CHK-D	-73.7	-81.08%	2249400
CHKR	-2.35	-43.76%	47649100
CHL	-2.49	-4.23%	214090600
CHMI	-5.49	-29.69%	6649300
CHMT	2.54	10.27%	162320400
CHN	-2.71	-14.87%	13006500
CHS	-5.54	-34.18%	580456400
CHS-A	-0.47	-1.79%	1973600
CHSP	-12.05	-32.38%	96644000
CHT	0.6	2.04%	46885900
CHU	-1.39	-10.33%	140289600
CI	43.42	42.19%	506279700
CIA	-0.17	-2.24%	24614400
CIB	-21.13	-44.13%	111795600
CIE	-3.49	-39.26%	917140200
CIEN	1.28	6.59%	746831400
CIF	-0.34	-12.78%	11647100
CIG	-3.47	-69.82%	934042400
CIG.C	-3.61	-67.48%	538600
CII	0.17	1.22%	30828000
CIM	10.46	328.93%	681376800
CINR	-1.96	-8.07%	849600
CIO	-0.62	-4.84%	10444000
CIR	-18.13	-30.08%	32759100
CIT	-8.13	-17.00%	405336400
CIVI	11.76	69.05%	22871900
CKH	-21.25	-28.79%	40081700
CL	-2.57	-3.71%	817981000
CLA	-0.5	-1.96%	1770900
CLB	-11.6	-9.64%	180589300
CLC	-16.96	-25.45%	74769700
CLD	-7.1	-77.34%	497801800
CLDT	-8.49	-29.31%	61414800
CLF	-5.56	-77.87%	1859150300
CLGX	2.27	7.19%	136689100
CLH	-6.4	-13.32%	126203100
CLI	4.29	22.51%	217021900
CLN-A	-1.31	-4.98%	4516400
CLN-B	-1.52	-5.85%	2055300
CLN-C	-2.98	-11.97%	10203300
CLNY	-4.34	-18.22%	262536100
CLR	-15.38	-40.09%	1132430600
CLS	-0.71	-6.05%	89156800
CLW	-23.02	-33.58%	36090200
CLX	22.62	21.71%	223426300
CM	-20.08	-23.36%	84923400
CMA	-5.01	-10.70%	535741600
CMA.W	-3.94	-21.95%	2089600
CMC	-2.6	-15.96%	311100100
CMCM	0.9	5.95%	288973200
CMG	-204.66	-29.90%	177296800
CMI	-56.16	-38.95%	493741900
CMN	18.88	43.64%	31701800
CMO	-3.54	-28.83%	231515200
CMO-E	-1.03	-4.16%	4214900
CMP	-11.56	-13.31%	65692300
CMR-B	-7.2	-29.57%	1437500
CMR-C	-6.94	-27.05%	4685700
CMR-D	-5.51	-22.17%	5609300
CMRE	-7.19	-40.83%	38987900
CMS	1.33	3.83%	682907600
CMS-B	-7.51	-7.19%	55500
CMU	0.12	2.73%	15404200
CNA	-3.56	-9.20%	30760400
CNC	13.89	26.74%	379621800
CNCO	-1.51	-19.64%	20927200
CNHI	-1.22	-15.14%	375628400
CNI	-13.03	-18.91%	351686200
CNK	-2.15	-6.04%	181184600
CNNX	-14.27	-59.16%	34124900
CNO	1.87	10.86%	384688100
CNP	-5.07	-21.64%	1034340100
CNQ	-9.05	-29.31%	951298800
CNS	-11.6	-27.57%	33296500
CNX	-25.91	-76.63%	1552368700
